1	1	1	56	22
1	2	1	54	24
1	3	1	68	10
1	4	1	35	43
1	5	1	50	28
1	6	1	56	22
1	1	2	53	25
1	2	2	52	26
1	3	2	60	18
1	4	2	48	30
1	5	2	53	25
1	6	2	59	19
2	1	1	57	21
2	2	1	47	31
2	3	1	57	21
2	4	1	46	32
2	5	1	50	28
2	6	1	51	27
2	1	2	53	25
2	2	2	51	27
2	3	2	57	21
2	4	2	47	31
2	5	2	55	23
2	6	2	56	22
3	1	1	56	22
3	2	1	54	24
3	3	1	71	7
3	4	1	47	31
3	5	1	55	23
3	6	1	52	26
3	1	2	47	31
3	2	2	52	26
3	3	2	61	17
3	4	2	45	33
3	5	2	65	13
3	6	2	62	16
4	1	1	44	34
4	2	1	56	22
4	3	1	63	15
4	4	1	44	34
4	5	1	49	29
4	6	1	48	30
4	1	2	47	31
4	2	2	54	24
4	3	2	47	31
4	4	2	53	25
4	5	2	43	35
4	6	2	55	23
5	1	1	50	28
5	2	1	50	28
5	3	1	50	28
5	4	1	45	33
5	5	1	43	35
5	6	1	52	26
5	1	2	57	21
5	2	2	54	24
5	3	2	59	19
5	4	2	43	35
5	5	2	57	21
5	6	2	64	14
6	1	1	51	27
6	2	1	61	17
6	3	1	61	17
6	4	1	49	29
6	5	1	54	24
6	6	1	50	28
6	1	2	46	32
6	2	2	47	31
6	3	2	59	19
6	4	2	43	35
6	5	2	54	24
6	6	2	57	21
7	1	1	48	30
7	2	1	53	25
7	3	1	56	22
7	4	1	41	37
7	5	1	42	36
7	6	1	48	30
7	1	2	51	27
7	2	2	56	22
7	3	2	65	13
7	4	2	53	25
7	5	2	57	21
7	6	2	60	18
8	1	1	42	36
8	2	1	42	36
8	3	1	64	14
8	4	1	52	26
8	5	1	50	28
8	6	1	54	24
8	1	2	54	24
8	2	2	53	25
8	3	2	60	18
8	4	2	48	30
8	5	2	57	21
8	6	2	66	12
9	1	1	44	34
9	2	1	51	27
9	3	1	48	30
9	4	1	49	29
9	5	1	56	22
9	6	1	52	26
9	1	2	50	28
9	2	2	51	27
9	3	2	59	19
9	4	2	43	35
9	5	2	57	21
9	6	2	67	11
10	1	1	42	36
10	2	1	53	25
10	3	1	50	28
10	4	1	50	28
10	5	1	36	42
10	6	1	48	30
10	1	2	38	40
10	2	2	47	31
10	3	2	43	35
10	4	2	43	35
10	5	2	41	37
10	6	2	51	27
11	1	1	50	28
11	2	1	57	21
11	3	1	68	10
11	4	1	33	45
11	5	1	49	29
11	6	1	58	20
11	1	2	51	27
11	2	2	56	22
11	3	2	67	11
11	4	2	43	35
11	5	2	65	13
11	6	2	63	15
12	1	1	40	38
12	2	1	64	14
12	3	1	58	20
12	4	1	40	38
12	5	1	44	34
12	6	1	52	26
12	1	2	41	37
12	2	2	50	28
12	3	2	54	24
12	4	2	57	21
12	5	2	46	32
12	6	2	62	16
13	1	1	61	17
13	2	1	61	17
13	3	1	68	10
13	4	1	41	37
13	5	1	56	22
13	6	1	54	24
13	1	2	57	21
13	2	2	60	18
13	3	2	67	11
13	4	2	58	20
13	5	2	52	26
13	6	2	66	12
14	1	1	42	36
14	2	1	56	22
14	3	1	57	21
14	4	1	49	29
14	5	1	52	26
14	6	1	44	34
14	1	2	50	28
14	2	2	47	31
14	3	2	58	20
14	4	2	39	39
14	5	2	51	27
14	6	2	50	28
15	1	1	67	11
15	2	1	74	4
15	3	1	76	2
15	4	1	53	25
15	5	1	66	12
15	6	1	66	12
15	1	2	53	25
15	2	2	59	19
15	3	2	63	15
15	4	2	51	27
15	5	2	64	14
15	6	2	62	16
16	1	1	44	34
16	2	1	53	25
16	3	1	56	22
16	4	1	51	27
16	5	1	51	27
16	6	1	53	25
16	1	2	58	20
16	2	2	58	20
16	3	2	63	15
16	4	2	54	24
16	5	2	58	20
16	6	2	71	7
17	1	1	50	28
17	2	1	47	31
17	3	1	54	24
17	4	1	45	33
17	5	1	49	29
17	6	1	57	21
17	1	2	48	30
17	2	2	46	32
17	3	2	57	21
17	4	2	44	34
17	5	2	59	19
17	6	2	53	25
18	1	1	50	28
18	2	1	56	22
18	3	1	61	17
18	4	1	39	39
18	5	1	48	30
18	6	1	47	31
18	1	2	47	31
18	2	2	52	26
18	3	2	55	23
18	4	2	54	24
18	5	2	51	27
18	6	2	60	18
