1	2	1	0.3375	0.8875	0.9375	1
2	1	2	0.2875	0.475	0.7	0.7625
3	1	1	0.525	0.6	0.9	0.925
4	2	2	0.35	0.3	0.575	0.45
5	2	1	0.2375	0.2625	0.225	0.2875
6	1	2	0.2125	0.2875	0.6875	0.7625
7	1	1	0.5125	0.85	0.9625	0.8875
8	2	2	0.4375	0.55	0.4625	0.475
9	2	1	0.2	0.225	0.275	0.25
10	2	1	0.275	0.1375	0.25	0.2625
11	1	1	0.3125	0.2	0.3375	0.25
12	2	2	0.225	0.2375	0.2375	0.3125
13	2	1	0.2625	0.4375	0.425	0.4875
14	1	2	0.25	0.3625	0.275	0.25
15	1	1	0.3	0.3125	0.5	0.3625
16	2	2	0.3	0.25	0.2375	0.2375
17	2	1	0.55	0.8125	0.8625	0.9375
18	1	2	0.225	0.325	0.2375	0.3125
19	1	1	0.3	0.4125	0.3875	0.575
20	2	2	0.2375	0.225	0.275	0.225
21	2	1	0.3875	0.7375	0.85	0.8
22	2	1	0.375	0.4625	0.45	0.4125
23	1	1	0.375	0.7	1	1
24	2	2	0.2625	0.2875	0.25	0.325
25	2	1	0.275	0.3125	0.5625	0.7
26	1	2	0.375	0.5375	0.6375	0.6875
27	1	1	0.175	0.35	0.5375	0.35
28	2	2	0.2875	0.4	0.3875	0.3875
29	2	1	0.2125	0.2375	0.275	0.275
30	1	2	0.175	0.2875	0.4	0.55
31	1	1	0.5625	0.4875	0.4	0.5375
32	2	2	0.225	0.25	0.25	0.2875
33	2	1	0.2625	0.8625	0.975	0.925
34	1	2	0.2875	0.2125	0.2	0.275
35	1	1	0.325	0.475	0.525	0.55
36	2	2	0.3375	0.175	0.25	0.225
37	2	1	0.275	0.2125	0.225	0.2375
38	1	2	0.175	0.3	0.575	0.6875
39	1	1	0.35	0.5625	0.5125	0.9
40	2	2	0.2375	0.225	0.225	0.225
41	2	1	0.4125	0.65	0.8625	0.9125
42	1	2	0.55	0.6875	0.6875	0.775
43	1	1	0.275	0.3	0.3125	0.2875
44	2	2	0.225	0.3375	0.375	0.3375
45	2	1	0.25	0.25	0.25	0.25
46	1	2	0.65	0.8875	0.925	0.9125
47	1	1	0.3125	0.525	0.55	0.6125
48	2	2	0.25	0.25	0.2375	0.25
49	2	1	0.2	0.2375	0.3625	0.25
50	1	2	0.225	0.25	0.2375	0.2125
51	1	1	0.225	0.175	0.2625	0.275
52	2	2	0.2	0.6125	0.75	0.8375
53	2	1	0.2	0.2625	0.25	0.55
54	1	2	0.45	0.4625	0.6	0.525
55	1	1	0.25	0.3375	0.8125	0.9625
56	2	2	0.275	0.25	0.175	0.325
57	2	1	0.4375	0.3	0.225	0.2625
58	1	2	0.3125	0.425	0.4875	0.3375
59	1	1	0.35	0.425	0.8	0.6625
60	2	2	0.225	0.2	0.25	0.25
61	2	1	0.3875	0.4375	0.725	0.85
62	1	2	0.35	0.6375	0.7	0.85
63	1	1	0.7	0.85	0.8625	0.925
64	2	2	0.2875	0.275	0.3375	0.4375
66	1	2	0.275	0.2375	0.225	0.3375
67	1	1	0.3625	0.5875	0.7875	0.9375
68	2	2	0.425	0.325	0.375	0.2875
69	2	1	0.475	0.875	0.9375	0.925
71	1	2	0.2125	0.325	0.2625	0.25
72	1	1	0.5	0.8625	0.8875	0.925
73	2	1	0.3875	0.3375	0.35	0.2625
74	1	2	0.2625	0.5	0.6625	0.5875
75	1	1	0.225	0.375	0.375	0.3875
76	2	2	0.2875	0.2125	0.3	0.35
77	2	1	0.3	0.3375	0.3875	0.4125
78	1	2	0.475	0.7625	0.8375	0.7625
79	1	1	0.3375	0.4	0.4625	0.4
80	2	2	0.2	0.25	0.2125	0.1875
81	2	1	0.4125	0.25	0.3625	0.3125
82	1	2	0.425	0.5625	0.6375	0.6375
83	1	1	0.25	0.4125	0.5375	0.5
84	2	2	0.5375	0.5375	0.475	0.45
85	2	1	0.375	0.6375	0.9	0.85
86	1	2	0.4625	0.675	0.675	0.7375
87	1	1	0.2875	0.1625	0.3875	0.425
91	1	1	0.35	0.3125	0.4125	0.4
92	2	2	0.1875	0.3375	0.2	0.1125
94	1	2	0.4375	0.6625	0.65	0.7625
95	1	1	0.3375	0.25	0.4125	0.4
96	2	2	0.3	0.2375	0.3625	0.2375
97	2	1	0.3	0.3125	0.375	0.3375
98	1	2	0.2375	0.3375	0.3	0.2125
99	1	1	0.5125	0.5625	0.4625	0.5125
100	2	2	0.2625	0.3625	0.3875	0.2625
101	2	1	0.275	0.1875	0.275	0.2875
102	1	2	0.4875	0.575	0.825	0.775
103	1	1	0.5125	0.9	0.95	0.95
105	2	1	0.35	0.1875	0.3625	0.325
106	1	2	0.225	0.6	0.6	0.4875
107	1	1	0.7375	0.975	0.9875	0.975
108	2	2	0.375	0.425	0.4125	0.4375
109	2	1	0.6125	0.8625	0.975	0.9625
110	1	2	0.3125	0.35	0.525	0.525
111	1	1	0.375	0.425	0.65	0.775
112	2	2	0.2	0.275	0.175	0.1875
113	2	1	0.625	0.95	0.925	0.9875
115	1	1	0.3125	0.375	0.375	0.525
116	2	2	0.3375	0.3125	0.3375	0.1875
117	2	1	0.3	0.175	0.3	0.35
118	1	2	0.4375	0.6875	0.6125	0.6
120	2	2	0.3	0.175	0.2125	0.2375
121	2	1	0.25	0.325	0.3125	0.25
123	1	1	0.275	0.2875	0.4625	0.7125
124	2	2	0.2625	0.2625	0.3	0.1875
125	2	1	0.2	0.3125	0.275	0.2375
126	1	2	0.375	0.4	0.6625	0.8
127	1	1	0.3	0.3375	0.5875	0.8375
128	2	2	0.2375	0.25	0.275	0.3375
129	2	1	0.225	0.25	0.4125	0.1875
130	1	2	0.2375	0.275	0.25	0.3125
131	1	1	0.3	0.3125	0.4125	0.2625
132	2	2	0.2625	0.4	0.3375	0.425
133	2	1	0.825	0.8375	0.7	0.825
134	1	2	0.3	0.3625	0.5125	0.4125
135	1	1	0.4625	0.5125	0.4125	0.5375
136	2	2	0.2	0.2375	0.2375	0.2
137	2	1	0.2625	0.5125	0.4375	0.4125
138	1	2	0.2375	0.2	0.45	0.375
139	1	1	0.2125	0.2875	0.35	0.275
140	2	2	0.3375	0.275	0.3	0.2375
